57,Estrela,Leiteira de alta produção,12/03/2020,10/05/2025,520,A+
3,Mimosa,Rebanho principal da Fazenda Aurora,25/07/2019,,480,O-
88,Lua,Genética premium de reprodução,18/11/2021,02/02/2025,550,B+
14,Branquinha,Vaca de corte e leite equilibrada,05/01/2018,15/09/2024,610,AB+
62,Canela,Gado de corte extensivo,30/06/2020,,490,A-
41,Pérola,Rebanho familiar pequeno,14/09/2022,20/01/2025,430,O+
9,Valente,Matriz de elite reprodutiva,09/04/2017,11/12/2024,640,B-
76,Belinha,Produção leiteira média constante,22/10/2020,05/03/2025,500,A+
2,Chuva,Vaca de criação geral,03/02/2019,,465,O+
91,Tormenta,Genética avançada de corte,27/08/2021,18/06/2025,580,AB-
33,Flor,Rebanho jovem em crescimento,11/12/2022,,410,A+
68,Safira,Seleção genética avançada,19/05/2020,08/08/2024,445,O-
27,Rainha,Alta linhagem reprodutiva,07/07/2018,30/10/2024,620,B+
84,Serena,Gado de corte premium,16/03/2021,25/01/2025,595,AB+
11,Malhada,Rebanho misto tradicional,28/09/2019,,470,A-
59,Brisa,Leiteira estável de médio porte,13/06/2020,17/02/2025,505,O+
6,Noite,Genética de reprodução avançada,01/01/2018,22/09/2024,630,B+
73,Mel,Vaca jovem produtiva,09/11/2022,,420,A+
45,Violeta,Alta produção leiteira,21/04/2019,14/07/2025,540,AB-
98,Sombra,Gado de corte robusto,30/08/2021,,600,B+
22,Estrela-do-Campo,Rebanho experimental de elite,05/05/2020,12/12/2024,515,A+
